team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
2 Gurleys 1 Kupp,2,Julio Jones,WR,TB,BN,Out,Knee,414.p.24793,2022-09-18,4.0
2 Gurleys 1 Kupp,3,Julio Jones,WR,TB,BN,Out,Knee,414.p.24793,2022-09-26,4.0
2 Gurleys 1 Kupp,4,Julio Jones,WR,TB,BN,Questionable,Undisclosed,414.p.24793,2022-10-05,2.0
2 Gurleys 1 Kupp,5,Julio Jones,WR,TB,BN,Out,Knee,414.p.24793,2022-10-10,4.0
2 Gurleys 1 Kupp,6,Julio Jones,WR,TB,IR,Out,Knee,414.p.24793,2022-10-18,4.0
Djeango,4,Russell Wilson,QB,Den,QB,Questionable,Shoulder,414.p.25785,2022-10-05,2.0
Djeango,5,Russell Wilson,QB,Den,QB,Questionable,Shoulder,414.p.25785,2022-10-12,2.0
Djeango,6,Russell Wilson,QB,Den,BN,Questionable,Hamstring,414.p.25785,2022-10-19,2.0
Toney! Toni! Toné!,1,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-09-14,
Toney! Toni! Toné!,2,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-09-21,
Toney! Toni! Toné!,3,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-09-28,
Toney! Toni! Toné!,4,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-10-05,
Toney! Toni! Toné!,5,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-10-12,
Toney! Toni! Toné!,6,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-10-16,
Hit Me With Your Prescott,4,Cordarrelle Patterson,RB,Atl,BN,Injured Reserve,Knee,414.p.26652,2022-10-05,5.0
Hit Me With Your Prescott,5,Cordarrelle Patterson,RB,Atl,IR,Injured Reserve,Knee,414.p.26652,2022-10-12,5.0
Hit Me With Your Prescott,6,Cordarrelle Patterson,RB,Atl,IR,Injured Reserve,Knee,414.p.26652,2022-10-19,5.0
2 Gurleys 1 Kupp,1,Keenan Allen,WR,LAC,WR,Questionable,Hamstring,414.p.26699,2022-09-14,2.0
