team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
St. Louis Football Team,5,Justin Herbert,QB,LAC,QB,14.42,414.p.32676
St. Louis Football Team,5,Jared Goff,QB,Det,QB,6.86,414.p.29235
St. Louis Football Team,5,CeeDee Lamb,WR,Dal,WR,10.3,414.p.32687
St. Louis Football Team,5,Michael Pittman Jr.,WR,Ind,WR,10.9,414.p.32704
St. Louis Football Team,5,Saquon Barkley,RB,NYG,RB,19.6,414.p.30972
St. Louis Football Team,5,J.K. Dobbins,RB,Bal,RB,4.4,414.p.32725
St. Louis Football Team,5,Dallas Goedert,TE,Phi,TE,17.5,414.p.31019
St. Louis Football Team,5,Dameon Pierce,RB,Hou,W/R/T,20.3,414.p.34063
St. Louis Football Team,5,Chris Olave,WR,NO,W/R/T,15.4,414.p.33966
St. Louis Football Team,5,Allen Lazard,WR,GB,BN,13.5,414.p.31268
St. Louis Football Team,5,Rashaad Penny,RB,Sea,BN,5.4,414.p.30997
St. Louis Football Team,5,DJ Moore,WR,Car,BN,10.7,414.p.30994
St. Louis Football Team,5,Noah Brown,WR,Dal,BN,1.5,414.p.30352
St. Louis Football Team,5,Baker Mayfield,QB,Car,BN,7.6,414.p.30971
St. Louis Football Team,5,Carson Wentz,QB,Was,BN,22.86,414.p.29236
St. Louis Football Team,5,Younghoe Koo,K,Atl,K,1.0,414.p.30426
St. Louis Football Team,5,San Francisco,DEF,SF,DEF,15.0,414.p.100025
St. Louis Football Team,5,Philadelphia,DEF,Phi,BN,4.0,414.p.100021
St. Louis Football Team,5,Jameson Williams,WR,Det,IR,0.0,414.p.33967
St. Louis Football Team,5,Brian Robinson Jr.,RB,Was,IR,2.2,414.p.34054
Running Up That Hill,5,Jacoby Brissett,QB,Cle,QB,15.4,414.p.29325
Running Up That Hill,5,Cooper Rush,QB,Dal,QB,3.98,414.p.30788
Running Up That Hill,5,Davante Adams,WR,LV,WR,27.4,414.p.27581
Running Up That Hill,5,Tyreek Hill,WR,Mia,WR,13.0,414.p.29399
Running Up That Hill,5,Chase Edmonds,RB,Mia,RB,0.1,414.p.31104
Running Up That Hill,5,Alvin Kamara,RB,NO,RB,23.4,414.p.30180
Running Up That Hill,5,T.J. Hockenson,TE,Det,TE,1.6,414.p.31840
Running Up That Hill,5,Terry McLaurin,WR,Was,W/R/T,12.6,414.p.31908
Running Up That Hill,5,Adam Thielen,WR,Min,W/R/T,6.7,414.p.27277
Running Up That Hill,5,Matthew Stafford,QB,LAR,BN,11.32,414.p.9265
Running Up That Hill,5,Michael Carter,RB,NYJ,BN,17.3,414.p.33495
Running Up That Hill,5,Justin Fields,QB,Chi,BN,17.02,414.p.33399
Running Up That Hill,5,Rex Burkhead,RB,Hou,BN,4.8,414.p.26813
Running Up That Hill,5,Garrett Wilson,WR,NYJ,BN,5.7,414.p.33965
Running Up That Hill,5,Hayden Hurst,TE,Cin,BN,17.3,414.p.30995
Running Up That Hill,5,Tyler Allgeier,RB,Atl,BN,4.5,414.p.34107
Running Up That Hill,5,Evan McPherson,K,Cin,K,6.0,414.p.33537
Running Up That Hill,5,New Orleans,DEF,NO,DEF,4.0,414.p.100018
Running Up That Hill,5,Michael Thomas,WR,NO,IR,0.0,414.p.29281
AndysTeamThatDoesNotInspireAwe,5,Tom Brady,QB,TB,QB,19.74,414.p.5228
AndysTeamThatDoesNotInspireAwe,5,Aaron Rodgers,QB,GB,QB,16.88,414.p.7200
AndysTeamThatDoesNotInspireAwe,5,Stefon Diggs,WR,Buf,WR,24.2,414.p.28534
AndysTeamThatDoesNotInspireAwe,5,Amon-Ra St. Brown,WR,Det,WR,5.8,414.p.33500
AndysTeamThatDoesNotInspireAwe,5,Kareem Hunt,RB,Cle,RB,14.7,414.p.30199
AndysTeamThatDoesNotInspireAwe,5,Nyheim Hines,RB,Ind,RB,1.8,414.p.31074
AndysTeamThatDoesNotInspireAwe,5,Tyler Higbee,TE,LAR,TE,11.6,414.p.29344
AndysTeamThatDoesNotInspireAwe,5,Rhamondre Stevenson,RB,NE,W/R/T,19.5,414.p.33508
AndysTeamThatDoesNotInspireAwe,5,Hunter Renfrow,WR,LV,W/R/T,6.5,414.p.31981
AndysTeamThatDoesNotInspireAwe,5,Jonathan Taylor,RB,Ind,BN,0.0,414.p.32711
AndysTeamThatDoesNotInspireAwe,5,Diontae Johnson,WR,Pit,BN,11.0,414.p.31898
AndysTeamThatDoesNotInspireAwe,5,Drake London,WR,Atl,BN,7.5,414.p.33963
AndysTeamThatDoesNotInspireAwe,5,Derek Carr,QB,LV,BN,17.94,414.p.27564
AndysTeamThatDoesNotInspireAwe,5,Taysom Hill,"QB,TE",NO,BN,34.08,414.p.30614
AndysTeamThatDoesNotInspireAwe,5,Damien Harris,RB,NE,BN,2.2,414.p.31919
AndysTeamThatDoesNotInspireAwe,5,Kadarius Toney,WR,NYG,BN,0.0,414.p.33408
AndysTeamThatDoesNotInspireAwe,5,Ryan Succop,K,TB,K,8.0,414.p.9520
AndysTeamThatDoesNotInspireAwe,5,Green Bay,DEF,GB,DEF,3.0,414.p.100009
Lil Uzi Hurts,5,Lamar Jackson,QB,Bal,QB,15.76,414.p.31002
Lil Uzi Hurts,5,Jimmy Garoppolo,QB,SF,QB,18.02,414.p.27590
Lil Uzi Hurts,5,A.J. Brown,WR,Phi,WR,6.2,414.p.31883
