week,manager,team_name,points,points_against,projected_points
3,Adam,St. Louis Football Team,149.46,120.74,144.42
3,Christopher,Christopher's Perfect Team,120.74,149.46,157.90
3,roy s,Running Up That Hill,102.30,157.20,162.64
3,sox fan,2 Gurleys 1 Kupp,157.20,102.30,152.36
3,Andy,AndysTeamThatDoesNotInspireAwe,144.36,180.76,154.03
3,Jake,Lil Uzi Hurts,180.76,144.36,160.40
3,Jean,Djeango,134.62,144.88,153.85
3,Khari,Toney! Toni! Toné!,144.88,134.62,154.66
3,JL,Hit Me With Your Prescott,150.34,145.42,164.09
3,JoeB,Mac & Chase,145.42,150.34,151.93
